experiment,key,status,inputs_hash,restarted,wall_seconds,hostname,git_commit,category,endpoint_correct,expected_species,final_species,method,min_rmsd_to_ts,n_frames,overshoot_kcal,path_converged,path_outcome,peak_kcal,pes_calls,profile_scf_failures,reaction,reference_irc_frames,spin_changes
06_path_vs_irc,rxn_01-bondspace,ok,c23501d059e6e67b,False,12.26903095911257,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,oxygen,True,H + O2,H + O2,bondspace,0.09604220441017605,12,3494.9339867673975,True,converged,3369.50392212674,11,0,rxn_01,0,False
06_path_vs_irc,rxn_01-linear,ok,88ce7bd041ee0ca4,False,2.0983560828026384,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,oxygen,True,H + O2,H + O2,linear,0.003983826492634505,5,1456.1539643145002,True,interpolated,1330.7238996738424,0,0,rxn_01,0,False
