experiment,key,status,inputs_hash,restarted,wall_seconds,hostname,git_commit,barrier_error_kcal,barrier_kcal,bond_max_all_pairs,bond_max_ref_pairs,bond_rms_all_pairs,category,drive_calls,drive_outcome,drive_steps,drive_target_error,energy_ev,energy_gap_kcal,highest_tier,irc_connects,mode_overlap_bonds,mode_overlap_reference,n_imaginary,n_targets,omega_imaginary,pes_residual_ev_ang,reaction,refine_converged,refine_displacement_rmsd,refine_gradient_calls,refine_steps,refined_n_imaginary,rmsd_all,rmsd_heavy,rung,rung_information,spin_changes,tier_T0,tier_T1,tier_T2,tier_T3,tier_T4,enumeration_truncated,n_correct,n_moves_enumerated,n_saddles,precision,recall,true_ts_rank_by_barrier
03_information_ladder,rxn_01-L0,ok,6c002185d18c9240,False,52.11466912482865,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,-29.966434340990034,-155.39649898164788,0.27350062105047257,0.27350062105047257,0.16652056470853485,oxygen,30,converged,28,0.1070990605235973,-4100.075194194776,29.96643434099004,4,True,0.07455920543889336,0.011713783075832974,1,2,-1768.0345013169872,2.3479804819955654,rxn_01,True,0.051220676409792734,6,3,1,0.1374952461349493,0.092728516885832,L0,reference R and P bond-order matrices (not single-ended),False,True,True,True,True,True,,,,,,,
03_information_ladder,rxn_01-L1,ok,45e4db92ec2c79f1,False,79.58557825000025,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,393.9577877209091,268.52772308025123,0.4679973387863041,0.4679973387863041,0.2872429157273431,oxygen,29,flat_gradient_stall,27,0.4964178100795756,-4081.6921001833052,393.9577877209091,2,,2.8451868110960434e-06,0.7716635147183365,2,2,-1593.4383640666342,148.03222964542422,rxn_01,False,0.6067389082291709,60,30,,0.1648941880105521,0.18006823197173102,L1,the chemical equation: integer Lewis orders and the atom mapping,False,True,True,True,False,False,,,,,,,
03_information_ladder,rxn_01-L2,ok,7ca2976cc76a189a,False,99.49198775016703,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,,,,,,oxygen,,,,,,,,,,,,,,,rxn_01,,,,,,,,L2,"the reactant alone, plus enumerated bond rearrangements",False,,,,,,False,0,2,0,0.0,False,
