experiment,key,status,inputs_hash,restarted,wall_seconds,hostname,git_commit,barrier_error_kcal,category,highest_tier,irc_connects,label,method,n_imaginary,n_runs,reaction,rmsd_heavy,rung,spin_changes,tier_T0,tier_T1,tier_T2,tier_T3,tier_T4,total_pes_calls
04_ts_baselines,rxn_01-B0a,ok,2b9e5185ed258131,False,21.773960791993886,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,1257.3343482579821,oxygen,-1,False,Cartesian midpoint,B0a,1,1,rxn_01,0.2166165220470888,L0,False,False,False,True,True,False,23
04_ts_baselines,rxn_01-B0b,ok,159bd7a2d2465187,False,20.716439083917066,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,1257.3343482580242,oxygen,-1,False,IDPP midpoint,B0b,1,1,rxn_01,0.2166165220470888,L0,False,False,False,True,True,False,22
04_ts_baselines,rxn_01-B1,ok,40856d05b1f43b8c,False,32.44389641704038,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,,oxygen,,,Dimer (bond direction),B1,,1,rxn_01,,L1,False,,,,,,
04_ts_baselines,rxn_01-B1r,ok,1c9695f6a9dd9173,False,74.77877374994569,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,,oxygen,,,Dimer (random direction),B1r,,2,rxn_01,,L2,False,,,,,,
04_ts_baselines,rxn_01-B2,ok,5516c5de747dba17,False,34.442337041022256,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,,oxygen,,,Sella from reactant,B2,,1,rxn_01,,L2,False,,,,,,
04_ts_baselines,rxn_01-B3,ok,707de35d91e61790,False,35.09623008291237,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,1224.4051314477792,oxygen,-1,False,CI-NEB peak image,B3,2,1,rxn_01,0.2336732635870544,L0,False,False,False,True,False,False,63
04_ts_baselines,rxn_01-B4,ok,525a56693bb43860,False,32.44509429088794,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,3608.173515422716,oxygen,2,False,Bond space L1 (hybrid),B4,2,1,rxn_01,0.23752059067579231,L1,False,True,True,True,False,False,37
